filename,pt_body_nose_front_dx,pt_body_nose_front_dz,sym_body_front_wing_dx,sym_body_front_wing_dy,sym_body_front_wing_dz,sym_body_mid_wing_dx,sym_body_mid_wing_dy,sym_body_mid_wing_dz,sym_body_back_wing_dx,sym_body_back_wing_dy,sym_body_back_wing_dz,sym_body_mid_dx,sym_body_mid_dy,sym_body_mid_dz,sym_body_back_dx,sym_body_back_dy,sym_body_back_dz,pt_body_top_wing_dx,pt_body_top_wing_dz,pt_body_top_mid_dx,pt_body_top_mid_dz,pt_body_top_back_dx,pt_body_top_back_dz,pt_wing_point_dx,pt_wing_point_dz,sym_wing_l1_r1_dx,sym_wing_l1_r1_dy,sym_wing_l1_r1_dz,sym_wing_l1_r2_dx,sym_wing_l1_r2_dy,sym_wing_l1_r2_dz,sym_wing_l1_r3_dx,sym_wing_l1_r3_dy,sym_wing_l1_r3_dz,sym_wing_l2_r1_dx,sym_wing_l2_r1_dy,sym_wing_l2_r1_dz,sym_wing_l2_r2_dx,sym_wing_l2_r2_dy,sym_wing_l2_r2_dz,sym_wing_l2_r3_dx,sym_wing_l2_r3_dy,sym_wing_l2_r3_dz,sym_wing_l3_r1_dx,sym_wing_l3_r1_dy,sym_wing_l3_r1_dz,sym_wing_l3_r2_dx,sym_wing_l3_r2_dy,sym_wing_l3_r2_dz,sym_wing_l3_r3_dx,sym_wing_l3_r3_dy,sym_wing_l3_r3_dz,sym_wing_l4_r1_dx,sym_wing_l4_r1_dy,sym_wing_l4_r1_dz,sym_wing_l4_r2_dx,sym_wing_l4_r2_dy,sym_wing_l4_r2_dz,sym_wing_l4_r3_dx,sym_wing_l4_r3_dy,sym_wing_l4_r3_dz,sym_wing_l5_r1_dx,sym_wing_l5_r1_dy,sym_wing_l5_r1_dz,sym_wing_l5_r2_dx,sym_wing_l5_r2_dy,sym_wing_l5_r2_dz,sym_wing_l5_r3_dx,sym_wing_l5_r3_dy,sym_wing_l5_r3_dz,sym_end_down_front_dx,sym_end_down_front_dy,sym_end_down_front_dz,sym_end_down_back_dx,sym_end_down_back_dy,sym_end_down_back_dz,sym_end_up_front_dx,sym_end_up_front_dy,sym_end_up_front_dz,sym_end_up_back_dx,sym_end_up_back_dy,sym_end_up_back_dz,Cd,Cl,CmPitch,L_D_Ratio
wing_011.stl,0.017495,0.005047,0.025107,-0.009960,0.009889,-0.006454,0.009081,0.006596,0.026810,0.004806,0.006686,-0.000020,0.014206,0.017443,0.010021,-0.016548,-0.016167,-0.022006,-0.012178,0.014727,-0.009682,0.007270,-0.022419,-0.025730,0.022291,-0.009219,0.016465,0.018554,0.004612,-0.015215,0.002543,0.017040,-0.009914,0.015822,0.009529,-0.016578,0.008110,-0.011363,-0.018335,0.005688,0.004582,0.003992,0.002524,0.007164,0.001264,0.012790,0.002527,0.008943,0.001831,0.002059,-0.002740,0.003966,0.018718,0.012885,-0.017732,0.012676,0.006979,0.007694,-0.016152,-0.008477,0.006377,0.004471,0.009098,-0.007471,-0.000075,-0.019956,-0.006611,0.018383,0.009756,0.018275,0.029222,-0.007847,0.019186,0.022765,0.018708,-0.002014,-0.005890,-0.020455,-0.014904,0.021464,0.021240,0.014553,0.5903928,-2.473804,-0.9686481,-4.190098524236745
wing_012.stl,-0.011821,0.029062,0.006041,0.028500,0.008174,-0.022831,0.001868,0.015736,-0.023647,-0.020148,0.021694,0.021293,-0.001252,-0.001134,-0.003581,-0.000471,-0.001580,-0.015801,0.010455,-0.005546,0.027255,0.000410,0.024528,0.027133,0.017975,-0.017100,-0.010487,0.019405,-0.013383,0.011304,0.012914,-0.006120,-0.017445,0.000017,-0.014696,-0.010951,0.006044,-0.005697,0.019428,0.001822,0.017389,0.015820,0.017871,-0.017311,0.019111,0.009475,-0.005290,-0.005377,0.009494,0.016609,0.002451,0.007504,-0.016129,-0.000087,-0.006854,-0.009971,-0.001925,-0.004555,0.000937,0.006964,0.006697,0.000533,-0.015029,-0.017884,0.000257,0.006231,0.002923,-0.004232,0.012854,-0.012377,-0.023447,-0.005540,0.008184,-0.024491,0.015297,0.008376,-0.022765,0.017504,0.024025,-0.005264,0.014168,0.019774,0.5712314,-2.291634,-0.9061083,-4.011743752181691
wing_013.stl,-0.008893,0.023522,-0.026384,-0.012692,0.000735,-0.002544,-0.000655,0.008993,0.015959,-0.019146,0.009595,0.025275,0.029894,0.025252,0.025827,-0.004389,0.025979,0.016544,-0.007918,0.001089,-0.023864,0.027694,-0.012912,0.008689,0.007277,0.006356,0.018619,0.003901,0.014712,0.017883,0.015925,-0.010279,0.008551,0.014761,0.000768,-0.002201,0.018809,-0.001689,0.010953,0.009436,-0.003693,0.018581,0.010338,-0.009549,-0.010931,0.019641,0.013359,0.001074,0.017719,0.007966,0.015888,0.009816,-0.000930,0.009720,0.015696,-0.001637,-0.000788,-0.013609,-0.012097,-0.000547,-0.012162,0.005293,-0.017064,-0.010833,0.004165,0.009457,0.017958,-0.003470,0.011471,-0.014375,0.004127,0.018284,0.004922,-0.003944,-0.001476,0.014929,0.007312,0.005966,-0.022097,0.002627,0.012382,-0.021090,0.6439769,-2.686126,-1.121368,-4.171152723024692
wing_014.stl,-0.004395,0.017300,0.002635,0.020294,0.020634,-0.020393,0.021991,0.023319,-0.025726,-0.020915,-0.010297,-0.005225,-0.005732,-0.004153,-0.003796,0.028130,-0.014902,0.008277,-0.021169,-0.000300,0.005365,-0.027878,0.018962,0.021430,0.024832,-0.011875,-0.008605,0.012939,-0.009970,0.013040,0.012691,0.015015,-0.014213,0.013771,0.012045,0.001626,0.001302,-0.005231,0.011520,0.012817,-0.014571,0.007993,0.003240,0.000275,0.004943,0.004873,-0.018492,0.007116,0.003048,-0.010943,0.017288,0.000012,-0.014462,0.004308,0.016146,-0.018344,-0.008719,0.013446,0.003560,0.001093,0.017780,-0.008010,0.011074,0.011034,0.004930,0.003556,0.010268,0.003194,-0.007375,-0.009860,-0.029906,-0.020388,-0.019088,-0.007753,0.004334,-0.005397,0.028506,0.023626,0.000207,-0.027330,-0.025451,0.002625,0.5446167,-2.142396,-0.9122327,-3.933768465050742
wing_015.stl,0.011841,0.025012,-0.017201,-0.025409,0.019293,0.025578,-0.003395,0.022338,0.022390,-0.028029,0.025449,-0.028285,-0.009966,-0.028752,0.005792,0.018904,-0.005534,0.020065,-0.001215,-0.021860,0.024126,-0.015092,0.016377,-0.000190,0.001297,-0.009633,0.007795,0.003294,-0.008896,0.012272,0.002882,-0.019425,-0.015714,0.001853,0.003813,0.018803,0.009953,-0.012701,-0.003582,0.004528,0.016308,-0.013310,0.009965,0.015587,0.013185,0.013113,0.014435,0.003246,0.006230,0.010592,0.014761,0.013939,-0.013549,0.000184,-0.007230,-0.010756,-0.014375,-0.011319,0.010249,-0.016689,-0.011148,0.013510,0.007952,0.000160,-0.011036,-0.002801,-0.004246,0.006693,0.001831,0.019579,0.023931,0.023489,0.008506,0.019669,-0.000001,-0.013610,-0.001969,0.015540,0.023944,-0.010585,0.016888,0.026645,0.6795728,-2.833164,-1.223364,-4.169036783108447
wing_016.stl,0.002041,0.007170,-0.011432,0.009674,0.013158,-0.011020,-0.004222,0.013385,-0.009846,0.022808,-0.023584,-0.029148,-0.024748,-0.020956,-0.016787,-0.012804,0.007024,0.004080,-0.019385,0.018640,-0.026854,-0.013583,-0.024165,0.023377,0.026998,0.002690,0.006506,0.001563,-0.011992,0.009200,0.009340,0.011347,-0.001705,0.000633,0.016508,0.006411,0.004040,0.012130,0.007025,0.010720,0.005213,-0.004260,0.015332,0.001571,0.017669,0.004688,0.009141,0.019942,0.009656,-0.015418,0.005433,0.014061,-0.006665,0.015335,-0.000399,-0.006203,-0.006442,0.004866,-0.015737,-0.009208,-0.019458,0.001722,0.005820,-0.011610,0.002648,-0.018502,-0.014734,0.014541,0.001383,0.009524,-0.014191,-0.004521,-0.020951,0.003909,0.029071,-0.018313,0.025483,-0.001142,0.002495,-0.016777,0.008098,-0.007887,0.5508559,-2.493559,-1.031718,-4.52669926926443
wing_017.stl,0.012430,0.012100,-0.019894,0.012757,0.021104,-0.012899,0.011276,0.009873,0.000822,0.010933,-0.025960,-0.003561,0.012500,-0.029812,0.018329,0.017873,0.020766,0.026876,0.007465,-0.027767,-0.015228,0.018333,-0.025771,0.002541,0.019296,0.010205,0.001042,0.004140,0.011170,-0.004609,0.017143,0.010100,-0.008514,0.005444,-0.002040,0.019644,0.008964,0.011197,-0.019825,0.013393,-0.004003,0.017013,0.005836,-0.016343,-0.014621,0.017650,-0.013827,0.013198,0.009077,-0.016578,0.000939,0.010413,0.009157,-0.005126,-0.000866,-0.018859,-0.005614,0.008432,-0.007883,0.015138,-0.008833,-0.017976,0.012198,0.016113,-0.013358,-0.013754,0.014957,-0.014829,-0.008225,0.000536,-0.020777,0.009868,-0.001666,0.018939,-0.023610,-0.012574,-0.003668,-0.008156,-0.027515,0.016175,-0.020196,0.011925,0.6248883,-2.178824,-0.8640914,-3.4867415504498966
wing_018.stl,-0.016817,0.003428,0.010581,-0.022422,0.018945,-0.008205,0.019781,0.029432,0.003575,-0.012238,-0.027950,-0.016593,0.019768,-0.004971,-0.027617,0.010388,-0.008574,0.011645,0.006929,0.027003,-0.025751,0.023045,0.001868,0.000108,0.021102,0.017864,0.012304,0.011565,0.007613,-0.009807,0.003758,-0.004622,-0.001391,0.003935,-0.011027,0.003696,0.013256,0.006731,-0.006732,0.018043,0.015782,0.002498,0.013616,0.018993,-0.019012,0.008712,0.015813,0.008063,0.019933,-0.012441,0.019434,0.002400,0.003489,0.017024,-0.019665,0.014905,0.013787,0.009239,0.011271,-0.013268,0.004844,0.017772,-0.015639,0.006348,-0.014553,0.014510,-0.018309,0.010085,0.005272,0.003515,-0.019879,-0.018226,0.020699,0.017529,-0.014879,0.005338,-0.014085,0.010396,-0.023662,-0.003490,-0.011155,0.004956,7.935986e+89,-3.85387e+90,-1.297509e+90,-4.856195562844995
wing_019.stl,-0.026044,0.025476,0.023158,0.009277,0.024217,0.003276,0.012837,0.020007,0.013194,-0.003327,-0.000497,0.000842,-0.013352,0.020631,0.000165,-0.008577,0.011926,0.018396,-0.025624,-0.023677,0.014716,0.009773,-0.005328,-0.024858,0.004109,-0.015994,0.005433,0.010325,-0.015123,-0.002471,0.006006,0.018949,0.001991,0.002187,-0.006109,-0.012688,0.007348,-0.007314,-0.011402,0.005261,0.003835,-0.002016,0.008878,-0.009955,-0.002282,0.013779,-0.019379,0.012180,0.017206,-0.017482,-0.015904,0.004889,0.010820,0.010540,0.005447,0.010212,0.004995,0.018003,-0.001818,-0.013838,-0.002882,-0.012043,-0.018438,0.004564,-0.012399,-0.014810,0.016846,0.004561,0.007221,0.007709,0.000840,0.027918,0.003472,0.002018,0.025326,-0.028351,0.024834,0.004397,0.022193,-0.022445,0.016197,-0.001943,0.6612744,-2.469746,-1.029078,-3.734827781024035
wing_020.stl,0.004727,0.014271,-0.012109,0.027387,0.011464,0.027382,-0.012585,0.002876,-0.016074,-0.009522,-0.012930,-0.014621,-0.020799,0.018895,-0.001391,0.024748,-0.029370,-0.017118,-0.022130,-0.012972,0.007643,0.020295,-0.021341,-0.004833,0.013676,0.003281,-0.016105,0.006356,-0.012225,0.014163,0.016067,-0.008469,0.007419,0.007518,0.014145,-0.018307,0.002105,0.011959,-0.012549,0.016220,-0.000984,-0.016832,0.003980,0.014114,-0.005258,0.017440,0.003440,0.018758,0.014147,0.008570,0.000542,0.004128,0.019784,-0.017701,0.009394,-0.003221,-0.009048,-0.012006,-0.010982,-0.016829,0.010796,0.003011,0.002791,0.009749,-0.017691,0.013888,0.015631,-0.017107,-0.003010,0.001160,0.028525,0.007398,-0.004485,-0.001939,0.010158,0.023701,-0.020302,-0.005685,-0.025936,-0.025687,-0.024031,0.013959,0.6615852,-2.354505,-0.9538468,-3.5588840258216177
wing_021.stl,-0.027563,0.018264,-0.027534,-0.019611,0.017769,-0.027409,-0.020152,0.009054,-0.018548,0.018870,0.007354,-0.027248,-0.018150,0.012138,-0.023877,-0.028611,0.004480,0.014890,-0.009083,-0.008540,-0.021097,0.015738,0.027260,0.004446,0.019180,-0.014408,-0.007924,0.005248,0.005956,-0.014082,0.009970,-0.001155,-0.005367,0.010033,0.004104,0.001372,0.005859,0.002040,0.005823,0.016490,0.009602,-0.001029,0.018870,-0.001813,-0.015864,0.003566,0.009912,0.016478,0.003970,0.013570,0.011586,0.004658,0.016435,-0.015113,-0.016967,-0.019290,0.001717,0.011566,0.005322,-0.006407,-0.013338,0.018795,0.016820,-0.018950,0.008438,-0.016371,-0.008806,-0.005949,0.010971,-0.014599,-0.016332,0.014023,-0.021727,-0.002616,0.027835,0.004693,0.015216,-0.002407,0.018966,0.020349,0.029159,0.020805,0.5567419,-2.519403,-1.039299,-4.525262064881411
wing_022.stl,-0.007094,0.020172,-0.013569,-0.027000,0.025602,-0.029928,-0.005901,0.028226,-0.017049,0.019272,-0.008265,-0.025766,0.005003,-0.023122,-0.008037,-0.010645,0.024832,0.017632,-0.005650,-0.006196,-0.028002,-0.012357,0.010533,0.024725,0.010203,-0.008448,0.017017,0.000828,0.010009,0.018994,0.019749,0.019762,-0.002559,0.015245,-0.008992,-0.001368,0.014095,-0.011033,-0.006249,0.019942,0.000278,-0.016254,0.014438,0.010850,0.008507,0.011069,-0.018178,0.011439,0.016401,-0.004334,0.019046,0.012501,-0.008228,-0.011993,0.014673,-0.017160,0.005705,-0.018073,-0.001155,-0.019168,-0.005466,-0.003385,0.011683,-0.016582,0.019758,0.011917,0.006164,0.002108,-0.009391,0.002236,-0.002985,0.026319,0.014772,-0.021989,-0.022398,0.026497,0.010521,0.027495,-0.005394,-0.014315,0.024217,-0.029473,0.5852237,-2.311249,-0.9702157,-3.949342789774235
wing_023.stl,0.015982,0.011214,0.017254,-0.011057,0.014349,0.003794,-0.027337,0.016223,-0.007385,0.017207,-0.007108,-0.013311,0.009068,-0.025733,0.024639,-0.026010,0.019104,-0.006817,0.008991,-0.018295,-0.003546,0.001624,-0.026540,-0.006659,0.004775,-0.016242,-0.006277,0.010856,0.009587,-0.000468,0.003463,0.000140,-0.014921,0.010905,-0.003640,-0.002524,0.019476,-0.004270,-0.009279,0.012682,0.019304,0.006849,0.011402,-0.004440,0.009546,0.014729,-0.003595,-0.005618,0.015737,-0.000148,-0.004031,0.010371,-0.008936,0.013990,0.008489,0.019404,-0.014604,0.001249,0.015796,0.008933,-0.008525,0.015447,0.001637,-0.015082,-0.013758,0.012574,-0.001745,-0.015624,0.014232,-0.016128,0.001910,-0.006156,-0.012915,-0.027519,-0.019600,-0.006493,0.012230,-0.017919,0.001640,0.005719,0.015154,-0.028177,0.5358274,-2.53486,-1.118171,-4.730739786729832
wing_024.stl,0.029507,0.018902,-0.016184,-0.014682,0.011364,0.018137,-0.020921,0.025967,0.027639,0.010715,-0.024548,-0.007627,0.024572,0.029611,0.009090,-0.007213,-0.009885,0.028874,-0.024452,-0.024138,-0.016980,0.024454,0.022833,-0.011459,0.009353,-0.013162,-0.013148,0.000144,0.013239,0.007353,0.011572,0.016766,-0.012540,0.011654,0.004847,0.013462,0.003764,0.014827,-0.000158,0.007063,-0.002294,0.005017,0.012314,0.007833,-0.016508,0.007695,0.018218,-0.016702,0.004995,-0.006654,0.008871,0.013438,-0.003798,-0.013385,-0.011337,0.015388,0.011913,0.018947,0.013982,-0.012174,-0.004119,0.011793,-0.003338,0.005374,-0.016430,0.013498,-0.000575,-0.012939,0.017901,-0.007219,0.005661,0.004777,0.013893,-0.028237,0.002734,-0.016293,0.003951,0.011780,-0.018671,-0.028948,-0.028142,-0.005080,0.6369074,-2.441899,-1.021273,-3.833993764242651
